Country Name,Date,Total Population,Mobile subscribers,Health: mortality under-5,Internet users per 100 people,GDP per capita,Mobile subscribers per capita,log(GDP per capita),log(Health: mortality under-5),Region
Mozambique,2010,"""23,390,765""","""7,224,176""",135,4,394,0.30885,5.97635,4.90527,Africa
Eritrea,2010,"""5,253,676""","""185,275""",61,5,403,0.03527,5.99894,4.11087,Africa
Madagascar,2010,"""20,713,819""","""7,711,721""",62,2,421,0.3723,6.04263,4.12713,Africa
Central African Republic,2010,"""4,401,051""","""979,232""",159,2,451,0.2225,6.11147,5.0689,Africa
Guinea,2010,"""9,981,590""","""4,000,000""",130,1,474,0.40074,6.16121,4.86753,Africa
Uganda,2010,"""33,424,683""","""12,828,264""",99,13,515,0.3838,6.24417,4.59512,Africa
Tanzania,2010,"""44,841,226""","""20,983,853""",92,11,527,0.46796,6.2672,4.52179,Africa
Togo,2010,"""6,027,798""","""2,452,433""",103,5,527,0.40685,6.2672,4.63473,Africa
Rwanda,2010,"""10,624,005""","""3,548,761""",91,13,529,0.33403,6.27099,4.51086,Africa
Burkina Faso,2010,"""16,468,714""","""5,707,850""",176,1,536,0.34659,6.28413,5.17048,Africa
Guinea-Bissau,2010,"""1,515,224""","""594,100""",150,2,551,0.39209,6.31173,5.01064,Africa
Zimbabwe,2010,"""12,571,454""","""7,700,000""",80,12,595,0.6125,6.38856,4.38203,Africa
"""Gambia, The""",2010,"""1,728,394""","""1,478,347""",98,9,608,0.85533,6.41017,4.58497,Africa
Mali,2010,"""15,369,809""","""7,440,383""",178,3,613,0.48409,6.41836,5.18178,Africa
Comoros,2010,"""734,750""","""165,278""",86,5,736,0.22494,6.60123,4.45435,Africa
Benin,2010,"""8,849,892""","""7,074,914""",115,3,741,0.79944,6.608,4.74493,Africa
Chad,2010,"""11,227,208""","""2,675,330""",173,2,761,0.23829,6.63463,5.15329,Africa
Kenya,2010,"""40,512,682""","""24,968,891""",85,26,795,0.61632,6.67834,4.44265,Africa
Lesotho,2010,"""2,171,318""","""987,448""",85,4,1004,0.45477,6.91175,4.44265,Africa
Senegal,2010,"""12,433,728""","""8,343,717""",75,16,1034,0.67106,6.94119,4.31749,Africa
Mauritania,2010,"""3,459,773""","""2,744,978""",111,3,1045,0.7934,6.95177,4.70953,Africa
Cameroon,2010,"""19,598,889""","""8,636,652""",136,4,1147,0.44067,7.04491,4.91265,Africa
Cote d'Ivoire,2010,"""19,737,800""","""15,026,810""",123,3,1161,0.76132,7.05704,4.81218,Africa
Sao Tome and Principe,2010,"""165,397""","""102,497""",80,19,1215,0.6197,7.1025,4.38203,Africa
Nigeria,2010,"""158,423,182""","""87,297,789""",143,28,1242,0.55104,7.12448,4.96284,Africa
Zambia,2010,"""12,926,409""","""5,446,991""",111,10,1253,0.42138,7.1333,4.70953,Africa
Ghana,2010,"""24,391,823""","""17,436,949""",74,10,1319,0.71487,7.18463,4.30407,Africa
Sudan,2010,"""33,603,637""","""17,654,230""",103,,1538,0.52537,7.33824,4.63473,Africa
"""Egypt, Arab Rep.""",2010,"""81,121,077""","""70,661,005""",22,27,2698,0.87106,7.90027,3.09104,Africa
Morocco,2010,"""31,951,412""","""31,982,279""",36,49,2795,1.00097,7.93559,3.58352,Africa
"""Congo, Rep.""",2010,"""4,042,899""","""3,798,619""",93,5,2970,0.93958,7.99632,4.5326,Africa
Cape Verde,2010,"""495,999""","""371,871""",36,30,3345,0.74974,8.11522,3.58352,Africa
Swaziland,2010,"""1,055,506""","""732,700""",78,9,3503,0.69417,8.16138,4.35671,Africa
Tunisia,2010,"""10,549,100""","""11,114,206""",16,37,4194,1.05357,8.34141,2.77259,Africa
Angola,2010,"""19,081,912""","""8,909,200""",161,10,4322,0.46689,8.37147,5.0814,Africa
Algeria,2010,"""35,468,208""","""32,780,165""",36,13,4567,0.92421,8.42661,3.58352,Africa
Namibia,2010,"""2,283,289""","""1,534,528""",40,7,4876,0.67207,8.49208,3.68888,Africa
South Africa,2010,"""49,991,300""","""50,372,000""",57,12,7272,1.00762,8.89179,4.04305,Africa
Botswana,2010,"""2,006,945""","""2,363,411""",48,6,7427,1.17762,8.91288,3.8712,Africa
Mauritius,2010,"""1,280,924""","""1,190,900""",15,29,7584,0.92972,8.9338,2.70805,Africa
Gabon,2010,"""1,505,463""","""1,610,000""",74,7,8768,1.06944,9.07886,4.30407,Africa
Seychelles,2010,"""86,525""","""117,587""",14,41,11130,1.35899,9.3174,2.63906,Africa
Equatorial Guinea,2010,"""700,401""","""399,290""",121,6,20703,0.57009,9.93803,4.79579,Africa
Afghanistan,2010,"""34,385,068""","""13,000,000""",149,4,501,0.37807,6.21661,5.00395,Asia
Nepal,2010,"""29,959,364""","""9,195,562""",50,8,535,0.30693,6.28227,3.91202,Asia
Bangladesh,2010,"""148,692,131""","""68,650,000""",48,4,675,0.46169,6.51471,3.8712,Asia
Timor-Leste,2010,"""1,142,502""","""600,600""",81,0,766,0.52569,6.64118,4.39445,Asia
Cambodia,2010,"""14,138,255""","""8,150,764""",51,1,795,0.5765,6.67834,3.93183,Asia
Tajikistan,2010,"""6,878,637""","""5,940,842""",63,12,820,0.86367,6.7093,4.14313,Asia
Kyrgyz Republic,2010,"""5,447,900""","""5,275,477""",38,20,880,0.96835,6.77992,3.63759,Asia
Pakistan,2010,"""173,593,383""","""99,185,844""",87,17,1019,0.57137,6.92658,4.46591,Asia
Lao PDR,2010,"""6,200,894""","""4,003,395""",54,7,1158,0.64562,7.05445,3.98898,Asia
Vietnam,2010,"""86,927,700""","""154,000,000""",23,28,1224,1.77159,7.10988,3.13549,Asia
India,2010,"""1,224,614,327""","""752,190,000""",63,8,1375,0.61423,7.22621,4.14313,Asia
Uzbekistan,2010,"""28,562,400""","""20,952,000""",52,19,1377,0.73355,7.22766,3.95124,Asia
Bhutan,2010,"""725,940""","""394,316""",56,14,2088,0.54318,7.64396,4.02535,Asia
Philippines,2010,"""93,260,798""","""79,895,646""",29,25,2140,0.85669,7.66856,3.3673,Asia
Mongolia,2010,"""2,756,001""","""2,510,470""",32,13,2250,0.91091,7.71869,3.46574,Asia
Sri Lanka,2010,"""20,653,000""","""17,359,312""",17,12,2400,0.84052,7.78322,2.83321,Asia
Georgia,2010,"""4,452,800""","""3,980,000""",22,26,2614,0.89382,7.86864,3.09104,Asia
Indonesia,2010,"""239,870,937""","""220,000,000""",35,10,2952,0.91716,7.99024,3.55535,Asia
Armenia,2010,"""3,092,072""","""3,865,354""",20,44,3031,1.25009,8.01665,2.99573,Asia
Turkmenistan,2010,"""5,041,995""","""3,197,624""",56,2,3967,0.6342,8.28577,4.02535,Asia
China,2010,"""1,337,825,000""","""859,003,000""",18,34,4433,0.64209,8.39683,2.89037,Asia
Thailand,2010,"""69,122,234""","""71,624,172""",13,21,4614,1.0362,8.43685,2.56495,Asia
Azerbaijan,2010,"""9,054,332""","""9,100,113""",46,47,5843,1.00506,8.673,3.82864,Asia
Maldives,2010,"""315,885""","""494,351""",15,28,6570,1.56497,8.79027,2.70805,Asia
Malaysia,2010,"""28,401,017""","""33,859,000""",6,56,8373,1.19218,9.03277,1.79176,Asia
Kazakhstan,2010,"""16,323,287""","""19,402,600""",33,33,9070,1.18865,9.11273,3.49651,Asia
"""Korea, Rep.""",2010,"""49,410,000""","""50,767,241""",5,82,20540,1.02747,9.93013,1.60944,Asia
Brunei Darussalam,2010,"""398,920""","""435,104""",7,50,31008,1.0907,10.342,1.94591,Asia
Singapore,2010,"""5,076,700""","""7,384,600""",3,71,41987,1.45461,10.64512,1.09861,Asia
Japan,2010,"""127,450,459""","""120,708,670""",3,78,43063,0.9471,10.67042,1.09861,Asia
Moldova,2010,"""3,562,062""","""3,165,052""",19,40,1632,0.88854,7.39756,2.94444,Europe
Ukraine,2010,"""45,870,700""","""53,919,545""",13,45,2974,1.17547,7.99766,2.56495,Europe
Albania,2010,"""3,204,284""","""4,547,807""",18,45,3701,1.41929,8.21636,2.89037,Europe
Bosnia and Herzegovina,2010,"""3,760,149""","""3,110,233""",8,52,4427,0.82716,8.39548,2.07944,Europe
"""Macedonia, FYR""",2010,"""2,060,563""","""2,153,425""",12,52,4434,1.04507,8.39706,2.48491,Europe
Serbia,2010,"""7,291,436""","""9,915,348""",7,43,5273,1.35986,8.57035,1.94591,Europe
Belarus,2010,"""9,490,000""","""10,332,900""",6,32,5819,1.08882,8.66888,1.79176,Europe
Bulgaria,2010,"""7,534,289""","""10,199,942""",13,46,6335,1.3538,8.75385,2.56495,Europe
Montenegro,2010,"""631,490""","""1,170,000""",8,52,6510,1.85276,8.78109,2.07944,Europe
